"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"1:307","2020-6-28","Pilgrim's Pride DeQueen",NA,"DeQueen","Sevier","35","182",NA,NA,NA,7,217,83.87096774,NA,34.096585,-94.409446
"1:308","2020-6-28","Poultry (general) Sevier County",NA,NA,"Sevier","50","195",NA,NA,NA,6,245,79.59183673,NA,33.986786,-94.243888
"1:309","2020-6-28","Cargill Poultry Springdale",NA,"Springdale","Washington","16","144",NA,NA,NA,4,160,90,NA,36.1867,-94.1288
"1:310","2020-6-28","George's Poultry Springdale",NA,"Springdale","Washington","34","99",NA,NA,NA,13,133,74.43609023,NA,36.1867,-94.1288
"1:311","2020-6-28","Tyson Berry St.",NA,"Springdale","Washington","103","189",NA,NA,NA,9,292,64.7260274,NA,36.1867,-94.1288
"1:312","2020-6-28","Poultry (general) Washington County",NA,NA,"Washington","298","591",NA,NA,NA,45,889,66.4791901,NA,36.082156,-94.171854
"1:313","2020-6-28","Tyson Randall Road",NA,"Springdale","Washington","27","9",NA,NA,NA,-1,36,25,NA,36.201311,-94.134535
"1:314","2020-6-28","Tyson Mexican Origian",NA,"Fayetteville","Washington","23","18",NA,NA,NA,2,41,43.90243902,NA,36.035882,-94.171423
"1:315","2020-6-28","Tyson Olrich St.",NA,"Rogers","Washington","30","37",NA,NA,NA,3,67,55.2238806,NA,36.317781,-94.122539
"1:316","2020-6-28","Wayne Farms",NA,"Danville","Yell","66","62",NA,NA,NA,19,128,48.4375,NA,35.054,-93.3935
"1:317","2020-6-28","Tyson Dardanelle",NA,"Dardanelle","Yell","12","37",NA,NA,NA,4,49,75.51020408,NA,35.223968,-93.158723
"1:318","2020-6-28","Poultry (general) Yell County",NA,NA,"Yell","81","139",NA,NA,NA,24,220,63.18181818,NA,35.223141,-93.157953
"1:319","2020-6-28","Nebo Poultry",NA,"Dardanelle","Yell","6","60",NA,NA,NA,6,66,90.90909091,NA,35.227528,-93.168166
